Interaction_Description,Simplified_Description
Acenocoumarol may increase the anticoagulant activities of Fondaparinux.,"This combination may lead to a stronger anticoagulant effect, raising the risk of bleeding."
Rivaroxaban may increase the anticoagulant activities of Fondaparinux.,"The concurrent use of these medications may heighten the anticoagulant effects, increasing the potential for bleeding complications."
Edetic acid may increase the anticoagulant activities of Fondaparinux.,"This interaction could enhance the anticoagulant effect of Fondaparinux, leading to an increased bleeding risk."
Pentaerythritol tetranitrate may increase the anticoagulant activities of Fondaparinux.,"This combination may further increase the anticoagulant effects, raising the risk of bleeding."
Citric acid may increase the anticoagulant activities of Fondaparinux.,"The use of citric acid with Fondaparinux may potentiate its anticoagulant effects, increasing the bleeding risk."
Protocatechualdehyde may increase the anticoagulant activities of Fondaparinux.,"This combination may enhance the anticoagulant effect of Fondaparinux, increasing the risk of bleeding."
The risk or severity of adverse effects can be increased when Vorapaxar is combined with Fondaparinux.,This combination may increase the likelihood of bleeding due to the enhanced anticoagulant effects.
The therapeutic efficacy of Fondaparinux can be decreased when used in combination with Progesterone.,This combination may reduce the effectiveness of Fondaparinux in preventing blood clots.
The therapeutic efficacy of Fondaparinux can be decreased when used in combination with Levonorgestrel.,"The interaction may decrease the anticoagulant effect of Fondaparinux, potentially impacting its efficacy."
The therapeutic efficacy of Fondaparinux can be decreased when used in combination with Etonogestrel.,This combination may diminish the effectiveness of Fondaparinux in preventing blood clot formation.
The therapeutic efficacy of Fondaparinux can be decreased when used in combination with Allylestrenol.,"When used together, these drugs may reduce the effectiveness of Fondaparinux in preventing blood clots."
Acenocoumarol may increase the anticoagulant activities of Edetic acid.,"This combination could potentiate the blood-thinning effect, increasing the risk of bleeding."
Rivaroxaban may increase the anticoagulant activities of Edetic acid.,"The concurrent use of these medications may enhance the anticoagulant effect, raising the bleeding risk."
Pentaerythritol tetranitrate may increase the anticoagulant activities of Edetic acid.,"This combination may heighten the anticoagulant effect, increasing the potential for bleeding complications."
Citric acid may increase the anticoagulant activities of Edetic acid.,"The combination of citric acid with Edetic acid could increase the anticoagulant effects, leading to a higher risk of bleeding."
Protocatechualdehyde may increase the anticoagulant activities of Edetic acid.,"This interaction may further enhance the anticoagulant effect, increasing the likelihood of bleeding."
Rivaroxaban may increase the anticoagulant activities of Protocatechualdehyde.,"The combination of these two medications may potentiate the anticoagulant effect, raising the risk of bleeding."
Rivaroxaban may increase the anticoagulant activities of Citric acid.,"The use of Rivaroxaban with Citric acid could increase the anticoagulant effect, leading to an increased bleeding risk."
Pentaerythritol tetranitrate may increase the anticoagulant activities of Citric acid.,"This combination may enhance the anticoagulant effects, increasing the risk of bleeding."
Protocatechualdehyde may increase the anticoagulant activities of Citric acid.,"The concurrent use of these two substances may increase the anticoagulant effect, raising the bleeding risk."
Dienogest may increase the thrombogenic activities of Tranexamic acid.,"This interaction may increase the risk of clot formation, potentially leading to thrombosis."
Medroxyprogesterone acetate may increase the thrombogenic activities of Tranexamic acid.,"When used together, these drugs may heighten the risk of thrombosis."
Drospirenone may increase the thrombogenic activities of Tranexamic acid.,"This combination may enhance the risk of clot formation, increasing the potential for thrombosis."
Levonorgestrel may increase the thrombogenic activities of Tranexamic acid.,The combination of these medications may increase the risk of thrombosis.
Etonogestrel may increase the thrombogenic activities of Tranexamic acid.,This combination may elevate the risk of clot formation and thrombosis.
Norgestrel may increase the thrombogenic activities of Tranexamic acid.,The interaction could lead to an increased risk of thrombosis due to heightened clotting potential.
Ethynodiol diacetate may increase the thrombogenic activities of Tranexamic acid.,"This combination may enhance the risk of clot formation, leading to potential thrombosis."
Desogestrel may increase the thrombogenic activities of Tranexamic acid.,The use of these two medications together may increase the risk of clotting and thrombosis.
Gestodene may increase the thrombogenic activities of Tranexamic acid.,This interaction may raise the risk of thrombosis by promoting clot formation.
Norelgestromin may increase the thrombogenic activities of Tranexamic acid.,This combination could lead to an increased risk of clot formation and thrombosis.
Norgestimate may increase the thrombogenic activities of Tranexamic acid.,The use of these drugs together may heighten the risk of thrombosis.
Betaxolol may increase the bradycardic activities of Rivastigmine.,"The combination of these two medications may result in an increased heart rate-lowering effect, potentially causing bradycardia."
The risk or severity of adverse effects can be increased when Dexamethasone is combined with Rivastigmine.,"This combination could increase the likelihood of side effects, possibly affecting heart rate or cognitive function."
Alprenolol may increase the bradycardic activities of Rivastigmine.,"The concurrent use of these two drugs may lead to an enhanced heart rate-lowering effect, resulting in bradycardia."
Timolol may increase the bradycardic activities of Rivastigmine.,"This combination may intensify the heart rate-lowering effect, increasing the risk of bradycardia."
Atenolol may increase the bradycardic activities of Rivastigmine.,"The use of these medications together may enhance the bradycardic effects, raising the risk of slow heart rate."
Bupranolol may increase the bradycardic activities of Rivastigmine.,"This interaction may lead to an increased heart rate-lowering effect, increasing the potential for bradycardia."
Lamivudine may increase the hepatotoxic activities of Ribavirin.,"This combination may increase the risk of liver toxicity, requiring careful monitoring."
Abacavir may increase the hepatotoxic activities of Ribavirin.,The combination could heighten the risk of liver damage or dysfunction.
Emtricitabine may increase the hepatotoxic activities of Ribavirin.,"Concurrent use may increase the risk of liver toxicity, requiring monitoring of liver function."
Entecavir may increase the hepatotoxic activities of Ribavirin.,"This combination could elevate the risk of liver toxicity, necessitating regular liver function tests."
The risk or severity of adverse effects can be increased when Lamivudine is combined with Emtricitabine.,"This combination may increase the potential for side effects, including but not limited to gastrointestinal issues or hematological effects."
The risk or severity of adverse effects can be increased when Ganciclovir is combined with Emtricitabine.,"Combining these drugs could increase the likelihood of adverse reactions, including hematologic and gastrointestinal effects."
The risk or severity of adverse effects can be increased when Valganciclovir is combined with Emtricitabine.,"This combination may raise the likelihood of side effects, including potential renal and hematologic issues."
The risk or severity of adverse effects can be increased when Metoclopramide is combined with Trimetazidine.,"This combination may lead to an increased risk of central nervous system-related side effects, including dizziness or extrapyramidal symptoms."
The therapeutic efficacy of Levonordefrin can be decreased when used in combination with Mianserin.,"This interaction may reduce the effectiveness of Levonordefrin, potentially impairing its desired effects."
The therapeutic efficacy of Captodiame can be decreased when used in combination with Yohimbine.,"The combination may reduce the effectiveness of Captodiame, potentially leading to suboptimal therapeutic outcomes."
The therapeutic efficacy of Cloxazolam can be decreased when used in combination with Yohimbine.,"The interaction may diminish the efficacy of Cloxazolam, potentially reducing its therapeutic benefits."
The therapeutic efficacy of Nomegestrol can be decreased when used in combination with Ulipristal.,"This combination may lower the effectiveness of Nomegestrol, potentially affecting contraceptive efficacy."
The therapeutic efficacy of Dydrogesterone can be decreased when used in combination with Ulipristal.,"This interaction could reduce the effectiveness of Dydrogesterone, potentially leading to reduced contraceptive or therapeutic effects."
The risk or severity of adverse effects can be increased when Ganciclovir is combined with Entecavir.,"The combination may increase the likelihood of adverse effects, including hematologic or renal issues."
The risk or severity of adverse effects can be increased when Valganciclovir is combined with Entecavir.,"This combination could elevate the risk of side effects, including kidney or blood-related complications."
Clindamycin can cause a decrease in the absorption of Kaolin resulting in a reduced serum concentration and potentially a decrease in efficacy.,This interaction may require alternative treatment approaches to maintain therapeutic effects.
Lincomycin can cause a decrease in the absorption of Kaolin resulting in a reduced serum concentration and potentially a decrease in efficacy.,"The combination should be used with caution, and alternative therapies may need to be considered."
The risk or severity of adverse effects can be increased when Ascorbic acid is combined with Deferoxamine.,"This combination may enhance the toxicity of Deferoxamine, potentially leading to adverse effects like iron overload or kidney problems."
Tenofovir disoproxil may decrease the excretion rate of Cidofovir which could result in a higher serum level.,This interaction could increase the risk of nephrotoxicity and should be monitored closely.
The serum concentration of Ganciclovir can be increased when it is combined with Tenofovir disoproxil.,"This combination could lead to higher Ganciclovir levels, raising the risk of its side effects, particularly in renal function."
The serum concentration of Valganciclovir can be increased when it is combined with Tenofovir disoproxil.,"This interaction may lead to higher Valganciclovir levels, which could increase the risk of side effects, especially renal toxicity."
The therapeutic efficacy of Lactulose can be decreased when used in combination with L-Glutamine.,"This combination may reduce the effectiveness of Lactulose, potentially decreasing its efficacy in treating constipation."
The serum concentration of Triethylenetetramine can be decreased when it is combined with Calcium glucoheptonate.,"This interaction could reduce the effectiveness of Triethylenetetramine, potentially requiring alternative treatment strategies."
The serum concentration of Triethylenetetramine can be decreased when it is combined with Calcium gluconate.,"The combination may result in reduced Triethylenetetramine levels, decreasing its therapeutic efficacy."
The serum concentration of Triethylenetetramine can be decreased when it is combined with Calcium Phosphate.,"This interaction may lead to a decrease in the serum concentration of Triethylenetetramine, potentially reducing its effectiveness."
Lithium cation may increase the excretion rate of Sodium chloride which could result in a lower serum level and potentially a reduction in efficacy.,This could impair the intended therapeutic outcomes of Sodium chloride.
The risk or severity of bleeding can be increased when Betrixaban is combined with Sodium citrate.,"This combination may elevate the risk of bleeding complications, necessitating close monitoring."
The therapeutic efficacy of Gestrinone can be decreased when used in combination with Tipiracil.,"The combination may reduce the effectiveness of Gestrinone, possibly diminishing its intended therapeutic effects."
The therapeutic efficacy of Gestrinone can be decreased when used in combination with Ulipristal.,"This interaction may reduce the therapeutic benefits of Gestrinone, potentially affecting its clinical outcomes."
The therapeutic efficacy of Nonoxynol-9 can be decreased when used in combination with Tipiracil.,"This combination may reduce the effectiveness of Nonoxynol-9, potentially compromising its intended use."
The serum concentration of Choline can be increased when it is combined with Tipiracil.,"This interaction may lead to higher Choline levels, which could require dose adjustments or closer monitoring."
The risk or severity of adverse effects can be increased when Dipyridamole is combined with Regadenoson.,"This combination may elevate the risk of side effects, particularly related to cardiovascular function, requiring careful observation."
The therapeutic efficacy of Phenacemide can be decreased when used in combination with Pregabalin.,"The combination may reduce the therapeutic effects of Phenacemide, possibly affecting its clinical efficacy."
The therapeutic efficacy of Phenacemide can be decreased when used in combination with Mianserin.,"This interaction could decrease the effectiveness of Phenacemide, potentially compromising its intended effects."
The therapeutic efficacy of Phenacemide can be decreased when used in combination with Mefloquine.,"This combination may reduce the effectiveness of Phenacemide, leading to suboptimal treatment outcomes."
The serum concentration of Phenacemide can be decreased when it is combined with Orlistat.,"This interaction may lead to a reduction in Phenacemide levels, potentially affecting its therapeutic efficacy."
Ethanol may increase the neurotoxic activities of Cycloserine.,"This combination could increase the risk of neurological side effects, requiring careful monitoring of patients for toxicity."
The risk or severity of adverse effects can be increased when Isoniazid is combined with Cycloserine.,"This combination may elevate the risk of side effects, particularly related to the nervous system."
The risk or severity of adverse effects can be increased when Ethionamide is combined with Cycloserine.,"This interaction could increase the likelihood of adverse effects, particularly in the nervous system."
The risk or severity of adverse effects can be increased when Ethanol is combined with Ethionamide.,"This combination may heighten the risk of adverse reactions, including liver toxicity and central nervous system effects."
The serum concentration of Ethionamide can be increased when it is combined with Isoniazid.,"This combination may increase the levels of Ethionamide in the blood, potentially enhancing its toxic effects."
The risk or severity of adverse effects can be increased when Ethanol is combined with Phendimetrazine.,"The combination could heighten the risk of adverse effects, particularly on the central nervous system."
The risk or severity of adverse effects can be increased when Ethanol is combined with Acetohydroxamic acid.,"This interaction may increase the potential for side effects, especially related to the liver."
The risk or severity of adverse effects can be increased when Zidovudine is combined with Ribavirin.,"This combination may increase the risk of hematologic toxicities, including anemia and neutropenia."
Zalcitabine may increase the hepatotoxic activities of Ribavirin.,"This interaction could elevate the risk of liver toxicity, requiring close monitoring of liver function."
Stavudine may increase the hepatotoxic activities of Ribavirin.,"The combination may increase the risk of liver damage, requiring liver function monitoring."
Lamivudine may increase the hepatotoxic activities of Ribavirin.,"This interaction could increase the risk of liver toxicity, necessitating close monitoring."
Abacavir may increase the hepatotoxic activities of Ribavirin.,"The combination may increase the risk of liver damage, requiring regular liver function tests."
Emtricitabine may increase the hepatotoxic activities of Ribavirin.,"This combination may raise the risk of liver toxicity, and liver function should be closely monitored."
Entecavir may increase the hepatotoxic activities of Ribavirin.,"The combination may elevate the risk of liver damage, necessitating regular monitoring of liver function."
The risk or severity of adverse effects can be increased when Dexketoprofen is combined with Sulfadimethoxine.,"This combination may elevate the risk of side effects, particularly in relation to the gastrointestinal or renal system, requiring close monitoring."
The risk or severity of adverse effects can be increased when Dexketoprofen is combined with Sulfamethazine.,"This interaction may increase the likelihood of adverse effects, especially related to the gastrointestinal or renal functions."
The risk or severity of adverse effects can be increased when Dexketoprofen is combined with Sulfamerazine.,"The combination may elevate the risk of side effects, particularly affecting the gastrointestinal tract or kidneys."
The risk or severity of adverse effects can be increased when Dexketoprofen is combined with Sulfacetamide.,"This interaction may raise the potential for side effects, particularly related to the skin or gastrointestinal system."
The risk or severity of adverse effects can be increased when Methenamine is combined with Sulfacetamide.,"The combination may increase the risk of adverse effects, particularly related to the renal system."
The risk or severity of adverse effects can be increased when Dexketoprofen is combined with Sulfamethizole.,"This interaction could enhance the risk of side effects, particularly affecting the gastrointestinal or renal systems."
The risk or severity of adverse effects can be increased when Dexketoprofen is combined with Pipazethate.,"This combination may elevate the risk of side effects, requiring monitoring for any adverse reactions."
The risk or severity of adverse effects can be increased when Dexketoprofen is combined with Sulfacytine.,"This interaction may raise the potential for side effects, particularly related to the gastrointestinal system or renal function."
The risk or severity of adverse effects can be increased when Dexketoprofen is combined with Sulfathiazole.,"This combination may increase the risk of adverse effects, requiring careful monitoring."
The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Bismuth subcitrate potassium.,"This combination may reduce the effectiveness of Bisacodyl, potentially requiring dose adjustments."
The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Tromethamine.,"The interaction may lower the effectiveness of Bisacodyl, potentially reducing its therapeutic outcomes."
The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Aluminium.,"This combination may reduce Bisacodyl's effectiveness, possibly requiring alternative treatment options."
The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Magnesium hydroxide.,"The combination may lower the effectiveness of Bisacodyl, potentially affecting its intended clinical outcomes."
The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Calcium carbonate.,"This interaction may reduce Bisacodyl's effectiveness, requiring monitoring for alternative treatment strategies."
The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Aluminum hydroxide.,"The combination may reduce Bisacodyl's therapeutic effects, potentially affecting the desired outcomes."
The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Almasilate.,"This combination may reduce the effectiveness of Bisacodyl, requiring adjustments or alternative treatments."
The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Magnesium trisilicate.,"This interaction may reduce the effectiveness of Bisacodyl, potentially necessitating dose modifications or alternative therapies."
Mecamylamine may increase the neuromuscular blocking activities of Lincomycin.,Taking Mecamylamine with Lincomycin can make muscle relaxation stronger than expected.
Atracurium besylate may increase the neuromuscular blocking activities of Lincomycin.,Atracurium besylate can cause stronger muscle-relaxing effects when combined with Lincomycin.
Mivacurium may increase the neuromuscular blocking activities of Lincomycin.,Mivacurium can make the muscle relaxation from Lincomycin more intense.
Succinylcholine may increase the neuromuscular blocking activities of Lincomycin.,Succinylcholine may boost the muscle-relaxing effects of Lincomycin.
Vecuronium may increase the neuromuscular blocking activities of Lincomycin.,Vecuronium can make Lincomycin's muscle relaxation stronger.
Pipecuronium may increase the neuromuscular blocking activities of Lincomycin.,Pipecuronium can increase the muscle-relaxing effect of Lincomycin.
Pancuronium may increase the neuromuscular blocking activities of Lincomycin.,Pancuronium may make Lincomycin's muscle-relaxing effects more powerful.
Gallamine triethiodide may increase the neuromuscular blocking activities of Lincomycin.,Gallamine triethiodide can cause stronger muscle relaxation when used with Lincomycin.
Tubocurarine may increase the neuromuscular blocking activities of Lincomycin.,Tubocurarine may lead to more intense muscle relaxation when taken with Lincomycin.
Cisatracurium may increase the neuromuscular blocking activities of Lincomycin.,Cisatracurium can enhance the muscle-relaxing impact of Lincomycin.
Pyrantel may increase the neuromuscular blocking activities of Lincomycin.,Pyrantel may make Lincomycin's muscle effects stronger.
Rocuronium may increase the neuromuscular blocking activities of Lincomycin.,Rocuronium can cause more powerful muscle relaxation when taken with Lincomycin.
Doxacurium may increase the neuromuscular blocking activities of Lincomycin.,Doxacurium may increase muscle weakness when combined with Lincomycin.
Metocurine may increase the neuromuscular blocking activities of Lincomycin.,Metocurine can boost Lincomycin’s muscle-relaxing properties.
Mecamylamine may increase the neuromuscular blocking activities of Polymyxin B.,Mecamylamine with Polymyxin B can lead to stronger muscle relaxation.
Atracurium besylate may increase the neuromuscular blocking activities of Polymyxin B.,Atracurium besylate may make muscle relaxation from Polymyxin B more intense.
Mivacurium may increase the neuromuscular blocking activities of Polymyxin B.,Mivacurium can increase the muscle-relaxing effects of Polymyxin B.
Succinylcholine may increase the neuromuscular blocking activities of Polymyxin B.,Succinylcholine may make Polymyxin B's muscle effects stronger.
Vecuronium may increase the neuromuscular blocking activities of Polymyxin B.,Vecuronium can cause extra muscle weakness when used with Polymyxin B.
Pipecuronium may increase the neuromuscular blocking activities of Polymyxin B.,Pipecuronium may increase how much Polymyxin B relaxes the muscles.
Pancuronium may increase the neuromuscular blocking activities of Polymyxin B.,Pancuronium can lead to stronger-than-expected muscle relaxation with Polymyxin B.
Gallamine triethiodide may increase the neuromuscular blocking activities of Polymyxin B.,Gallamine triethiodide may intensify muscle relaxation when taken with Polymyxin B.
Tubocurarine may increase the neuromuscular blocking activities of Polymyxin B.,Tubocurarine can boost the muscle-relaxing effects of Polymyxin B.
Cisatracurium may increase the neuromuscular blocking activities of Polymyxin B.,Cisatracurium may make muscle relaxation from Polymyxin B more powerful.
Pyrantel may increase the neuromuscular blocking activities of Polymyxin B.,Pyrantel can add to the muscle weakness caused by Polymyxin B.
Rocuronium may increase the neuromuscular blocking activities of Polymyxin B.,Rocuronium may increase the muscle-relaxing impact of Polymyxin B.
Doxacurium may increase the neuromuscular blocking activities of Polymyxin B.,Doxacurium can make Polymyxin B’s muscle effects stronger.
Metocurine may increase the neuromuscular blocking activities of Polymyxin B.,Metocurine may cause greater muscle relaxation when used with Polymyxin B.
Colistimethate may increase the neuromuscular blocking activities of Polymyxin B.,Colistimethate can intensify muscle relaxation from Polymyxin B
Metamfetamine may decrease the sedative activities of Isothipendyl.,Taking Metamfetamine with Isothipendyl may reduce how sleepy or relaxed you feel.
Pseudoephedrine may decrease the sedative activities of Isothipendyl.,Pseudoephedrine might make Isothipendyl less effective at causing drowsiness.
Mephentermine may decrease the sedative activities of Isothipendyl.,Mephentermine can make the calming effects of Isothipendyl weaker.
Amphetamine may decrease the sedative activities of Buclizine.,Amphetamine might reduce how sleepy Buclizine makes you feel.
Diethylpropion may decrease the sedative activities of Buclizine.,Diethylpropion can lower the sedative effect of Buclizine.
Phentermine may decrease the sedative activities of Buclizine.,Phentermine may make Buclizine less calming or drowsy.
Hydroxyamphetamine may decrease the sedative activities of Buclizine.,Hydroxyamphetamine might reduce the relaxing effects of Buclizine.
Lisdexamfetamine may decrease the sedative activities of Buclizine.,Lisdexamfetamine may make Buclizine less effective at causing drowsiness.
Dextroamphetamine may decrease the sedative activities of Buclizine.,Dextroamphetamine can decrease how sedated you feel from Buclizine.
Benzphetamine may decrease the sedative activities of Buclizine.,Benzphetamine may lessen the calming effect of Buclizine.
Metamfetamine may decrease the sedative activities of Buclizine.,Metamfetamine might reduce the sedative power of Buclizine.
Pseudoephedrine may decrease the sedative activities of Buclizine.,Pseudoephedrine could weaken the sleepy effects of Buclizine.
Mephentermine may decrease the sedative activities of Buclizine.,Mephentermine may make Buclizine less likely to cause drowsiness.
Amphetamine may decrease the sedative activities of Ketotifen.,Amphetamine can reduce how calming Ketotifen is.
Diethylpropion may decrease the sedative activities of Ketotifen.,Diethylpropion may make Ketotifen less sedating.
Phentermine may decrease the sedative activities of Ketotifen.,Phentermine could weaken the drowsy effects of Ketotifen.
Hydroxyamphetamine may decrease the sedative activities of Ketotifen.,Hydroxyamphetamine may make Ketotifen less calming.
Lisdexamfetamine may decrease the sedative activities of Ketotifen.,Lisdexamfetamine might reduce how sleepy Ketotifen makes you feel.
Dextroamphetamine may decrease the sedative activities of Ketotifen.,Dextroamphetamine can make the calming effects of Ketotifen weaker.
Benzphetamine may decrease the sedative activities of Ketotifen.,Benzphetamine may lower how sedating Ketotifen is.
Metamfetamine may decrease the sedative activities of Ketotifen.,Metamfetamine might make Ketotifen less effective at causing drowsiness.
Pseudoephedrine may decrease the sedative activities of Ketotifen.,Pseudoephedrine could reduce how relaxing Ketotifen feels.
Mephentermine may decrease the sedative activities of Ketotifen.,Mephentermine may make Ketotifen's sedative effects less noticeable.
Dextroamphetamine may decrease the sedative activities of Phenindamine.,Dextroamphetamine may make Phenindamine less sedating.
Benzphetamine may decrease the sedative activities of Phenindamine.,Benzphetamine might reduce how sleepy Phenindamine makes you feel.
Metamfetamine may decrease the sedative activities of Phenindamine.,Metamfetamine can lower the calming effects of Phenindamine.
Pseudoephedrine may decrease the sedative activities of Phenindamine.,Pseudoephedrine could make Phenindamine less likely to cause drowsiness.
Mephentermine may decrease the sedative activities of Phenindamine.,Mephentermine may decrease the sedative effects of Phenindamine.
Amphetamine may decrease the sedative activities of Alcaftadine.,Amphetamine might reduce how sleepy Alcaftadine makes you feel.
Diethylpropion may decrease the sedative activities of Alcaftadine.,Diethylpropion can make Alcaftadine less effective at causing drowsiness.
Phentermine may decrease the sedative activities of Alcaftadine.,Phentermine may weaken the calming effects of Alcaftadine.
Hydroxyamphetamine may decrease the sedative activities of Alcaftadine.,Hydroxyamphetamine might reduce Alcaftadine's sedative impact.
Lisdexamfetamine may decrease the sedative activities of Alcaftadine.,Lisdexamfetamine could lower the sleepy effects of Alcaftadine.
Dextroamphetamine may decrease the sedative activities of Alcaftadine.,Dextroamphetamine may reduce how relaxing Alcaftadine feels.
Benzphetamine may decrease the sedative activities of Alcaftadine.,Benzphetamine might make Alcaftadine less calming.
Metamfetamine may decrease the sedative activities of Alcaftadine.,Metamfetamine may decrease the drowsy effect of Alcaftadine.
Pseudoephedrine may decrease the sedative activities of Alcaftadine.,Pseudoephedrine can reduce how sedating Alcaftadine is.
Mephentermine may decrease the sedative activities of Alcaftadine.,Mephentermine may weaken the relaxing effects of Alcaftadine.
Amphetamine may decrease the sedative activities of Thonzylamine.,Amphetamine might make Thonzylamine less sedating.
Diethylpropion may decrease the sedative activities of Thonzylamine.,Diethylpropion can lower the calming effects of Thonzylamine.
Phentermine may decrease the sedative activities of Thonzylamine.,Phentermine may reduce how sleepy Thonzylamine makes you feel.
Hydroxyamphetamine may decrease the sedative activities of Thonzylamine.,Hydroxyamphetamine might make Thonzylamine less effective at causing drowsiness.
Lisdexamfetamine may decrease the sedative activities of Thonzylamine.,Lisdexamfetamine could decrease the sedative power of Thonzylamine.
Dextroamphetamine may decrease the sedative activities of Thonzylamine.,Dextroamphetamine may reduce the calming effects of Thonzylamine.
Benzphetamine may decrease the sedative activities of Thonzylamine.,Benzphetamine might make Thonzylamine less relaxing.
Metamfetamine may decrease the sedative activities of Thonzylamine.,Metamfetamine may weaken how sedating Thonzylamine is.
Pseudoephedrine may decrease the sedative activities of Thonzylamine.,Pseudoephedrine can reduce how sleepy Thonzylamine makes you feel.
Mephentermine may decrease the sedative activities of Thonzylamine.,Mephentermine may lower the calming effect of Thonzylamine.
Amphetamine may decrease the sedative activities of Alimemazine.,Amphetamine might make Alimemazine less effective at causing drowsiness.
Diethylpropion may decrease the sedative activities of Alimemazine.,Diethylpropion can weaken the sleepy effects of Alimemazine.
Phentermine may decrease the sedative activities of Alimemazine.,Phentermine may reduce how calming Alimemazine feels.
The serum concentration of Diethylpropion can be decreased when it is combined with Glutamic acid.,Diethylpropion may become less effective when taken with Glutamic acid.
Cyclosporine may increase the neurotoxic activities of Imipenem.,Cyclosporine can increase the risk of nerve-related side effects when taken with Imipenem.
The serum concentration of Acyclovir can be increased when it is combined with Tizanidine.,Tizanidine may raise the amount of Acyclovir in the blood.
The serum concentration of Obeticholic acid can be increased when it is combined with Tizanidine.,Tizanidine may increase the amount of Obeticholic acid in the blood.
The serum concentration of Piperazine can be decreased when it is combined with Primaquine.,Primaquine can lower the level of Piperazine in the body.
The serum concentration of Piperazine can be decreased when it is combined with Amodiaquine.,Amodiaquine may reduce the amount of Piperazine in the blood.
The serum concentration of Piperazine can be decreased when it is combined with Hydroxychloroquine.,Hydroxychloroquine may lower how much Piperazine is in the body.
The serum concentration of Phensuximide can be increased when it is combined with Cilostazol.,Cilostazol may raise the amount of Phensuximide in the blood.
The therapeutic efficacy of Phensuximide can be decreased when used in combination with Pregabalin.,Pregabalin may make Phensuximide work less effectively.
The therapeutic efficacy of Phensuximide can be decreased when used in combination with Mianserin.,Mianserin may reduce how well Phensuximide works.
The therapeutic efficacy of Phensuximide can be decreased when used in combination with Mefloquine.,Mefloquine may lower the effectiveness of Phensuximide.
The serum concentration of Phensuximide can be decreased when it is combined with Orlistat.,Orlistat may decrease the amount of Phensuximide in the body.
Amphetamine may decrease the sedative activities of Lodoxamide.,Amphetamine may make Lodoxamide less calming or drowsy.
Diethylpropion may decrease the sedative activities of Lodoxamide.,Diethylpropion can weaken the sedative effect of Lodoxamide.
Phentermine may decrease the sedative activities of Lodoxamide.,Phentermine might reduce how sleepy Lodoxamide makes you feel.
Hydroxyamphetamine may decrease the sedative activities of Lodoxamide.,Hydroxyamphetamine may decrease the relaxing effects of Lodoxamide.
Lisdexamfetamine may decrease the sedative activities of Lodoxamide.,Lisdexamfetamine could make Lodoxamide less sedating.
Dextroamphetamine may decrease the sedative activities of Lodoxamide.,Dextroamphetamine may reduce the calming effect of Lodoxamide.
Benzphetamine may decrease the sedative activities of Lodoxamide.,Benzphetamine might make Lodoxamide less effective at causing drowsiness.
Metamfetamine may decrease the sedative activities of Lodoxamide.,Metamfetamine may lower the sedative effects of Lodoxamide.
Pseudoephedrine may decrease the sedative activities of Lodoxamide.,Pseudoephedrine can make Lodoxamide's drowsy effect weaker.
Methadone may increase the analgesic activities of Diethylpropion.,Methadone may make Diethylpropion’s pain-relieving effects stronger.
Buprenorphine may increase the analgesic activities of Diethylpropion.,Buprenorphine can increase how well Diethylpropion relieves pain.
Butorphanol may increase the analgesic activities of Diethylpropion.,Butorphanol may boost the pain relief from Diethylpropion.
Hydrocodone may increase the analgesic activities of Diethylpropion.,Hydrocodone might make Diethylpropion more effective at easing pain.
Ethylmorphine may increase the analgesic activities of Diethylpropion.,Ethylmorphine may enhance Diethylpropion’s ability to reduce pain.
Tapentadol may increase the analgesic activities of Diethylpropion.,Tapentadol can make Diethylpropion’s pain relief stronger.
Hydromorphone may increase the analgesic activities of Diethylpropion.,Hydromorphone may improve how well Diethylpropion works for pain.
Dextropropoxyphene may increase the analgesic activities of Diethylpropion.,Dextropropoxyphene could increase the pain-relieving effects of Diethylpropion.
Levorphanol may increase the analgesic activities of Diethylpropion.,Levorphanol may strengthen the pain relief provided by Diethylpropion.
Fentanyl may increase the analgesic activities of Diethylpropion.,Fentanyl can boost how well Diethylpropion works against pain.
Meperidine may increase the analgesic activities of Diethylpropion.,Meperidine may enhance Diethylpropion’s ability to relieve pain.
Dezocine may increase the analgesic activities of Diethylpropion.,Dezocine could make Diethylpropion more effective at reducing pain.
Methadyl acetate may increase the analgesic activities of Diethylpropion.,Methadyl acetate may increase the pain-relieving strength of Diethylpropion.
Alfentanil may increase the analgesic activities of Diethylpropion.,Alfentanil can improve how Diethylpropion helps with pain.
Diamorphine may increase the analgesic activities of Diethylpropion.,Diamorphine may make the pain relief from Diethylpropion more intense.
Sufentanil may increase the analgesic activities of Diethylpropion.,Sufentanil can boost Diethylpropion’s pain-relieving power.
Normethadone may increase the analgesic activities of Diethylpropion.,Normethadone might increase how well Diethylpropion eases pain.
Nalbuphine may increase the analgesic activities of Diethylpropion.,Nalbuphine may strengthen Diethylpropion’s effects on pain.
Remifentanil may increase the analgesic activities of Diethylpropion.,Remifentanil could enhance Diethylpropion’s pain relief.
Oxycodone may increase the analgesic activities of Diethylpropion.,Oxycodone may increase the pain-relieving action of Diethylpropion.
